val_loss,val_offset,epoch,step,train_loss,train_offset
397993.6875,485236.03125,134,1214,,
,,134,1214,194100.5,142387.765625
386206.875,473771.78125,135,1223,,
,,135,1223,191650.1875,119750.125
379819.78125,444623.9375,136,1232,,
,,136,1232,188108.546875,126360.0234375
370471.0,443102.15625,137,1241,,
,,137,1241,186632.0625,111513.2421875
362464.5,435901.71875,138,1250,,
,,138,1250,182636.734375,78636.9609375
357419.78125,404278.46875,139,1259,,
,,139,1259,180788.9375,106785.5703125
350802.46875,396096.5,140,1268,,
,,140,1268,178564.40625,79196.59375
344488.78125,395137.21875,141,1277,,
,,141,1277,177369.703125,98808.234375
337589.59375,401711.5625,142,1286,,
,,142,1286,176022.40625,68990.15625
332640.28125,371966.65625,143,1295,,
,,143,1295,178483.28125,76453.46875
325737.25,337617.28125,144,1304,,
,,144,1304,174506.953125,92301.5703125
322944.71875,335118.28125,145,1313,,
,,145,1313,172932.171875,76996.609375
320376.34375,339404.375,146,1322,,
,,146,1322,170343.046875,57521.421875
316452.28125,336676.875,147,1331,,
,,147,1331,166905.484375,73968.890625
313488.28125,309319.9375,148,1340,,
,,148,1340,167078.5,79870.796875
309096.34375,304299.84375,149,1349,,
,,149,1349,166159.734375,71030.421875
